6.95,70,51
7.15,71,69
3.49,70,63
6.55,70,73
11.02,73,59
11.91,75,48
6.02,70,58
7.94,68,64
6.93,78,56
5.91,80,49
7.91,70,55
9.52,69,46
9.02,70,43
9.61,70,42
7.54,68,63
7.44,67,74
7.54,68,60
8.26,68,69
9.05,62,54
13.14,61,58
9.48,69,57
9.57,64,45
8.85,62,72
9.42,62,70
8.34,58,72
9.56,58,80
9.86,58,72
9.29,64,72
7.99,68,70
9.89,64,68
10.50,66,75
7.91,62,73
11.02,62,65
11.24,59,65
13.71,60,69
13.31,58,74
11.16,60,77
10.12,61,78
11.10,67,77
15.09,68,73
14.99,65,72
11.26,64,78
10.74,64,76
11.33,60,74
11.73,61,74
9.06,60,83
8.84,59,64
8.57,60,63
10.26,60,64
10.15,61,68
11.30,62,72
10.47,59,79
8.50,54,69
9.57,52,73
11.35,60,71
11.75,60,63
14.46,66,81
15.39,68,89
12.01,66,82
11.25,60,86
13.65,60,90
13.09,55,82
11.59,56,88
13.11,50,75
13.38,48,78
13.10,42,62
13.66,46,68
17.52,50,80
13.58,46,76
13.03,41,76
16.50,48,74
16.31,52,72
11.76,55,83
13.92,54,86
20.91,58,90
17.23,54,94
11.81,52,88
9.22,50,84
10.32,52,85
22.46,52,86
12.28,46,89
12.34,50,94
16.06,58,90
15.23,48,94
22.79,48,87
12.70,49,93
14.50,48,81
11.41,48,86
13.34,46,86
19.91,44,87
14.24,44,89
13.43,42,86
15.35,44,91
13.07,48,92
14.11,58,90
17.23,54,76
17.07,54,72
13.32,54,81
16.40,50,90
16.53,52,93
13.16,48,87
18.62,54,90
21.37,56,83
17.57,52,77
15.89,51,81
19.32,56,84
16.58,50,83
13.92,49,85
11.01,48,84
13.05,47,78
15.55,46,84
15.61,42,76
18.10,44,89
18.05,44,81
13.31,44,88
17.88,40,84
21.70,48,84
20.19,50,92
17.26,44,84
16.61,42,93
16.66,50,86
15.67,46,96
16.56,41,87
16.87,38,86
18.07,34,82
15.80,30,81
16.75,28,68
11.06,28,69
13.92,27,71
16.11,26,91
19.23,24,86
9.72,28,74
18.87,29,93
15.35,34,96
11.62,36,95
22.47,36,96
13.91,41,97
14.87,36,85
19.60,40,89
15.73,38,83
22.32,46,93
18.54,50,94
17.07,40,90
